,Diện tích,Mức giá,Mặt tiền,Đường vào,Số phòng ngủ,Số toilet,id,legal codes,direction codes,most_similar
1332,200.0,4.2,0,0,0,0,34341225,80,-1,"['34252271', '34211947', '34338570', '34338369', '34336203']"
1333,120.0,10.22,6,10,0,0,34341264,80,-1,"['34302552', '34319342', '33304312', '34278743', '34310403']"
1334,300.0,13.0,0,0,0,0,34341451,80,-1,"['34347228', '34324009', '33694910', '34249150', '33691531']"
1335,17000.0,0.035,0,0,0,0,34341702,80,-1,"['32527606', '34326696', '32848861', '34290939', '34263040']"
1336,250.0,0.48,30,24,0,0,34341784,80,-1,"['34217189', '33697764', '32046503', '27171905', '34332155']"
1337,14000.0,0.075,0,0,0,0,34341831,80,-1,"['34263040', '32848861', '34326696', '34254862', '34344855']"
1338,150.0,1.6,8,12,2,2,34341832,80,-1,"['34343408', '34148084', '34327587', '34314246', '34304431']"
1339,210.0,1.4285714285714286,10,12,0,0,34341987,-1,-1,"['34250140', '34260415', '31476007', '34311336', '34172669']"
1340,112.94,5.578183106074022,0,0,0,0,34342096,80,-1,"['34308622', '33233700', '34099359', '34225884', '34284944']"
1341,101.1,11.374876360039565,0,0,5,7,34342143,-1,-1,"['33778363', '31221606', '34328486', '34328478', '32009628']"
1342,200.0,0.0,0,0,0,0,34342156,90,-1,"['34333563', '34330325', '33469466', '34323323', '34325880']"
1343,500.0,0.594,0,0,0,0,34342183,80,-1,"['34286080', '33624158', '33328949', '34313448', '34066174']"
1344,200.0,0.0,20,40,0,0,34342215,93,-1,"['33529596', '33992380', '29173091', '34322549', '30782829']"
1345,1200.0,0.15,33,6,0,0,34342244,80,-1,"['34298995', '33616325', '33605724', '33869656', '34116933']"
1346,230.0,0.0,6,10,0,0,34342283,80,-1,"['34330124', '34305504', '34330548', '34305367', '34311470']"
1347,1100.0,5.0,10,5,0,0,34342296,38,-1,"['34298026', '31186805', '34287257', '33475914', '34101212']"
1348,1615.0,0.3715170278637771,0,0,0,0,34342321,80,-1,"['34333782', '34310954', '34301899', '34338349', '34255647']"
1349,132.0,4.696969696969697,6,12,0,0,34342553,80,-1,"['34343422', '33907902', '34313597', '34307488', '34247259']"
1350,144.2,8.321775312066574,0,0,0,0,34342589,80,-1,"['34329343', '34251858', '33305214', '34340523', '34100951']"
1351,1000.0,2.0,137,5,0,0,34342705,80,-1,"['34324934', '34292346', '34335939', '33266068', '34317878']"
1352,733.0,0.14815825375170533,5,15,0,0,34342811,80,-1,"['34207383', '33818045', '33971895', '33841791', '34194728']"
1353,1000.0,0.1,0,0,0,0,34342946,80,-1,"['34327860', '34148426', '33989067', '34328780', '34339153']"
1354,186.0,0.5483870967741935,0,0,0,0,34343108,80,-1,"['34010711', '34313448', '33624158', '34210817', '33328949']"
1355,1681.0,1.9036287923854849,0,0,0,0,34343161,-1,-1,"['34235686', '32758998', '33032174', '33910809', '34253225']"
1356,150.0,1.6,8,12,2,2,34343408,80,-1,"['34341832', '34148084', '34327587', '34314246', '34304431']"
1357,134.0,4.626865671641791,6,12,0,0,34343422,80,-1,"['34342553', '33907902', '34313597', '34307488', '34289614']"
1358,466.0,1.2875536480686696,0,0,0,0,34343485,-1,-1,"['33958290', '33447354', '34325495', '33140100', '34328071']"
1359,500.0,0.3,0,10,0,0,34343514,80,-1,"['34167282', '34320279', '34276647', '34207680', '34151790']"
1360,728.0,0.27472527472527475,30,0,0,0,34343568,80,-1,"['33616325', '33605724', '33869656', '34041694', '33192965']"
1361,189.0,0.6878306878306878,6,6,0,0,34343614,40,-1,"['34322567', '34326828', '34298747', '34338775', '34322345']"
1362,7751.2,0.10320982557539478,0,5,0,0,34343675,80,-1,"['34245595', '34187915', '32564189', '31391410', '34328538']"
1363,186.0,0.5483870967741935,6,0,0,0,34343790,80,-1,"['34300650', '34323607', '34011724', '34287493', '34072404']"
1364,492.0,0.0,20,20,0,0,34343832,80,-1,"['34277092', '32473843', '32046875', '32094226', '32096692']"
1365,200.0,0.0,10,15,0,0,34343872,80,-1,"['34263112', '34009154', '31454208', '34225463', '34263578']"
1366,200.0,0.0,20,40,0,0,34344161,101,-1,"['34329986', '34311504', '28503552', '32873187', '34313382']"
1367,438.0,0.8904109589041096,0,0,3,2,34344208,-1,-1,"['34330994', '34324396', '33891799', '32766944', '33364341']"
1368,200.0,0.0,10,10,0,0,34344245,80,-1,"['34107528', '34339667', '34131539', '34293910', '31787438']"
1369,150.0,8.0,5,6,0,0,34344476,103,-1,"['34329635', '32873187', '32581770', '34267482', '27700258']"
1370,200.0,4.0,0,0,0,0,34344629,-1,-1,"['34143895', '33962987', '30262459', '33412522', '34193084']"
